Year,Round,Pick,Overall,Team,PlayerName,Pos,Country,Ht,Wt,AmateurLeague,AmateurTeam,PlayerID,Status,GamesPlayed,Points,PPG
2011,1,11,11,COL,Duncan Siemens,D,CAN,75,196,WHL,Saskatoon,8476464,active,43,2,0.047
2011,4,2,93,COL,Joachim Nermark,C,SWE,72,185,SWE-JR.,Linkoping Jr.,8476417,inactive,2,1,0.5
2011,5,2,123,COL,Garrett Meurs,C,CAN,61,169,OHL,Plymouth,8476365,other_team,49,21,0.429
2011,6,2,153,COL,Gabriel Beaupre,D,CAN,74,195,QMJHL,Val d'Or,8476305,inactive,0,0,#DIV/0!
2011,7,2,183,COL,Dillon Donnelly,D,USA,74,193,QMJHL,Shawinigan,8476335,other_team,36,32,0.889
2010,1,17,17,COL,Joey Hishon,C,CAN,61,170,OHL,Owen Sound,8475767,inactive,26,11,0.423
2010,2,19,49,COL,Calvin Pickard,G,CAN,73,195,WHL,Seattle,8475717,other_team,82,60,0.732
2010,3,11,71,COL,Michael Bournival,LW,CAN,61,179,QMJHL,Shawinigan,8475739,other_team,79,29,0.367
2010,4,5,95,COL,Stephen Silas,D,CAN,73,183,OHL,Belleville,8475812,active,62,36,0.581
2010,4,17,107,COL,Sami Aittokallio,G,FIN,73,174,FINLAND-JR.,Ilves Jr.,8475824,inactive,10,7,0.7
2010,5,17,137,COL,Troy Rutkowski,D,CAN,74,208,WHL,Portland,8475846,active,5,2,0.4
2010,5,19,139,COL,Luke Walker,RW,USA,73,174,WHL,Portland,8475415,active,45,7,0.156
2010,7,17,197,COL,Luke Moffatt,C,USA,73,187,USHL,USA U-18,8475884,inactive,4,3,0.75
2009,1,3,3,COL,Matt Duchene,C,CAN,61,200,OHL,Brampton,8475168,inactive,101,99,0.98
2009,2,3,33,COL,Ryan O'Reilly,C,CAN,72,200,OHL,Erie,8475158,inactive,132,94,0.712
2009,2,19,49,COL,Stefan Elliott,D,CAN,73,180,WHL,Saskatoon,8475206,inactive,13,0,0
2009,3,3,64,COL,Tyson Barrie,D,CAN,61,190,WHL,Kelowna,8475197,inactive,35,8,0.229
2009,5,3,124,COL,Kieran Millan,G,CAN,72,190,H-EAST,Boston University,8475272,inactive,23,20,0.87
2009,6,3,154,COL,Brandon Maxwell,G,USA,72,195,USDP,USA U-18,8475316,other_team,135,33,0.244
2009,7,3,184,COL,Gus Young,D,USA,74,190,HIGH-MA,Nobles,8475289,active,46,26,0.565
2008,2,20,50,COL,Cameron Gaunce,D,CAN,73,203,OHL,Mississauga St. Michael's,8474611,other_team,167,150,0.898
2008,2,31,61,COL,Peter Delmas,G,CAN,74,169,QMJHL,Lewiston,8474622,active,45,22,0.489
2008,4,19,110,COL,Kelsey Tessier,C,CAN,69,168,QMJHL,Quebec,8474669,other_team,31,15,0.484
2008,5,19,140,COL,Mark Olver,C,CAN,61,170,CCHA,Northern Michigan,8474705,other_team,98,85,0.867
2008,6,16,167,COL,Joel Chouinard,D,CAN,73,186,QMJHL,Victoriaville,8474726,inactive,133,11,0.083
2008,6,19,170,COL,Jonas Holos,D,NOR,61,196,NORWAY,Sarpsborg,8474730,other_team,188,91,0.484
2008,7,19,200,COL,Nathan Condon,C,USA,72,180,HIGH-WI,Wausau,8474758,inactive,189,165,0.873
2007,1,14,14,COL,Kevin Shattenkirk,D,USA,61,193,USDP,USA U-18,8474031,other_team,209,7,0.033
2007,2,15,45,COL,Colby Cohen,D,USA,74,200,USHL,Lincoln,8474002,other_team,237,118,0.498
2007,2,19,49,COL,Trevor Cann,G,CAN,61,199,OHL,Peterborough,8474083,inactive,145,110,0.759
2007,2,25,55,COL,TJ Galiardi,F,CAN,74,190,ECAC,Dartmouth College,8474001,other_team,123,21,0.171
2007,4,14,105,COL,Brad Malone,F,CAN,74,207,USHL,Sioux Falls,8474089,inactive,152,108,0.711
2007,4,22,113,COL,Kent Patterson,G,USA,72,184,USHL,Cedar Rapids,8474172,active,113,80,0.708
2007,5,14,135,COL,Paul Carey,C,USA,72,175,HIGH-CT,Salisbury,8474008,other_team,152,106,0.697
2007,6,4,155,COL,Jens Hellgren,D,SWE,75,192,SWE-JR.,Frolunda Jr.,8474155,inactive,80,7,0.088
2007,7,14,195,COL,Johan Alcen,F,SWE,73,189,SWEDEN,Brynas,8474065,other_team,112,112,1
2006,1,18,18,COL,Chris Stewart,R,CAN,74,228,OHL,Kingston,8473485,other_team,259,25,0.097
2006,2,21,51,COL,Nigel Williams,D,USA,77,237,USA,US Nat'l U-18,8473586,active,11,0,0
2006,2,29,59,COL,Codey Burki,C,CAN,72,190,WHL,Brandon,8473467,active,123,119,0.967
2006,3,18,81,COL,Mike Carman,C,USA,72,180,USA,US Nat'l U-18,8473443,other_team,169,1,0.006
2006,4,17,110,COL,Kevin Montgomery,D,USA,73,185,USA,US Nat'l U-18,8473451,active,116,60,0.517
2006,7,18,201,COL,Billy Sauer,G,USA,74,180,CCHA,U. of Michigan,8473585,active,249,235,0.944
2005,2,4,34,COL,Ryan Stoa,C,USA,75,200,USA,US Nat'l U-18,8471708,inactive,229,93,0.406
2005,2,14,44,COL,Paul Stastny,C,CAN,72,205,WCHA,U. of Denver,8471669,inactive,98,82,0.837
2005,2,17,47,COL,Tom Fritsche,L,USA,61,183,CCHA,Ohio state,8471672,other_team,70,41,0.586
2005,2,22,52,COL,Chris Durand,C,CAN,73,186,WHL,Seattle,8471665,active,305,282,0.925
2005,3,27,88,COL,T.J. Hensick,C,USA,61,190,CCHA,U. of Michigan,8471753,active,109,59,0.541
2005,4,33,124,COL,Ray Macias,D,USA,74,195,WHL,Kamloops,8471786,other_team,159,56,0.352
2005,6,4,166,COL,Jason Lynch,D,CAN,75,205,WHL,Spokane,8471827,other_team,256,88,0.344
2005,6,6,168,COL,Justin Mercier,F,USA,61,190,USA,US Nat'l U-18,8471829,inactive,80,32,0.4
2005,7,28,222,COL,Kyle Cumiskey,D,CAN,61,185,WHL,Kelowna,8471879,other_team,263,139,0.529
2004,1,21,21,COL,Wojtek Wolski,L,POL,75,215,OHL,Brampton,8471234,other_team,132,34,0.258
2004,2,25,55,COL,Victor Oreskovich,R,CAN,75,215,USHL,Green Bay,8471268,other_team,231,221,0.957
2004,3,7,72,COL,Denis Parshin,L,RUS,61,165,RPL,CSKA 2,8471285,inactive,280,130,0.464
2004,5,25,154,COL,Richard Demen-Willaume,D,SWE,75,210,SJL,Frolunda Jr.,8471366,active,50,23,0.46
2004,6,21,184,COL,Derek Peltier,D,USA,61,190,USHL,Cedar Rapids,8471396,inactive,390,77,0.197
2004,7,22,215,COL,Ian Keserich,G,USA,74,190,NAHL,Cleveland,8471427,inactive,114,18,0.158
2004,8,12,239,COL,Brandon Yip,R,CAN,73,195,BCHL,Coquitlam,8471450,active,120,108,0.9
2004,8,22,249,COL,J.D. Corbin,L,USA,61,185,WCHA,U. of Denver,8471460,inactive,150,18,0.12
2004,9,23,281,COL,Stephen McClellan,D,USA,73,180,USHSE,Catholic Memorial,8471492,other_team,148,102,0.689
2003,2,33,63,COL,David Liffiton,D,CAN,74,210,OHL,Plymouth,8470656,other_team,214,15,0.07
2003,4,30,131,COL,David Svagrovsky,R,CZE,75,205,WHL,Seattle,8470723,other_team,374,210,0.561
2003,5,10,146,COL,Mark McCutcheon,C,USA,72,190,EJHL,New England,8470738,other_team,178,1,0.006
2003,5,27,163,COL,Brad Richardson,C,CAN,61,192,OHL,Owen Sound,8470755,other_team,205,10,0.049
2003,7,7,204,COL,Linus Videll,L,SWE,75,214,SJL,Sodertalje Jr.,8470793,inactive,299,140,0.468
2003,7,28,225,COL,Brett Hemingway,F,CAN,73,185,BCHL,Coquitlam,8470814,active,52,39,0.75
2003,8,28,257,COL,Darryl Yacboski,D,CAN,75,216,WHL,Regina,8470846,inactive,310,132,0.426
2003,9,27,288,COL,David Jones,R,CAN,74,210,BCHL,Coquitlam,8470877,other_team,30,3,0.1
2002,1,28,28,COL,Jonas Johansson,F,SWE,74,190,SWE,HV 71,8470150,other_team,345,141,0.409
2002,2,31,61,COL,Johnny Boychuk,D,CAN,74,225,WHL,Calgary,8470187,other_team,166,158,0.952
2002,3,31,94,COL,Eric Lundberg,D,USA,75,200,H-EAST,Providence College,8470190,other_team,404,238,0.589
2002,4,11,107,COL,Mikko Kalteva,D,FIN,75,187,FIN JR.,Jokerit Jr.,8470095,active,484,350,0.723
2002,4,33,129,COL,Tom Gilbert,D,USA,75,206,USHL,Chicago,8470104,other_team,1,1,1
2002,5,33,164,COL,Tyler Weiman,G,CAN,61,180,WHL,Tri-City,8470062,other_team,210,42,0.2
2002,6,29,195,COL,Taylor Christie,D,CAN,75,210,CCHA,Bowning Green,8470070,active,432,60,0.139
2002,7,30,227,COL,Ryan Steeves,F,CAN,72,195,ECAC,Yale University,8470258,inactive,377,344,0.912
2002,8,29,258,COL,Sergei Shemetov,F,RUS,73,174,RUS,Yaroslavl,8470098,active,279,173,0.62
2002,9,29,289,COL,Sean Collins,L,USA,69,177,H-EAST,U. of New Hampshire,8470042,inactive,249,1,0.004
2001,2,33,63,COL,Peter Budaj,G,SVK,73,200,OHL,Toronto St. Michael's,8469514,inactive,503,295,0.586
2001,4,1,97,COL,Danny Bois,R,CAN,72,196,OHL,London,8469546,active,174,121,0.695
2001,4,34,130,COL,Colt King,L,CAN,74,221,OHL,Guelph,8469578,active,385,269,0.699
2001,5,12,143,COL,Frantisek Skladany,L,SVK,72,185,H-EAST,Boston University,8469590,inactive,476,158,0.332
2001,5,13,144,COL,Cody McCormick,F,CAN,75,221,OHL,Belleville,8469591,other_team,256,252,0.984
2001,5,18,149,COL,Mikko Viitanen,D,FIN,75,218,FIN D.1,Ahmat,8469596,active,77,51,0.662
2001,5,34,165,COL,Pierre-Luc Emond,C,CAN,72,193,QMJHL,Drummondville,8469612,inactive,484,371,0.767
2001,6,19,184,COL,Scott Horvath,R,USA,75,228,H-EAST,U. Mass-Amherst,8469631,other_team,210,0,0
2001,6,31,196,COL,Charlie Stephens,F,CAN,76,225,OHL,Guelph,8467904,other_team,195,167,0.856
2001,7,31,227,COL,Marek Svatos,R,SVK,61,185,WHL,Kootenay,8469670,inactive,349,285,0.817
2000,1,14,14,COL,Vaclav Nedorost,C,CZE,73,190,,Budejovice,8468494,other_team,38,18,0.474
2000,2,17,47,COL,Jared Aulin,C,CAN,72,192,,Kamloops,8468527,active,171,92,0.538
2000,2,20,50,COL,Sergei Soin,F,RUS,72,185,,Krylja Sovetov,8468530,active,584,139,0.238
2000,2,33,63,COL,Agris Saviels,D,LVA,74,192,,Owen Sound,8468543,active,139,109,0.784
2000,3,23,88,COL,Kurt Sauer,D,USA,76,222,,Spokane,8468568,inactive,310,97,0.313
2000,3,27,92,COL,Sergey Klyazmin,L,RUS,75,194,,Tver,8468572,inactive,346,69,0.199
2000,4,23,119,COL,Brian Fahey,D,USA,73,216,,U. of Wisconsin,8468599,inactive,362,216,0.597
2000,5,29,159,COL,John-Michael Liles,D,USA,61,185,,Michigan State,8468639,active,234,109,0.466
2000,6,22,189,COL,Chris Bahen,D,CAN,0,180,,Clarkson U.,8468669,active,215,38,0.177
2000,7,24,221,COL,Aaron Molnar,G,CAN,0,165,,London,8468701,other_team,497,146,0.294
2000,8,23,252,COL,Darryl Bootland,R,CAN,73,197,,Toronto St. Michael's,8468732,active,453,381,0.841
2000,9,5,266,COL,Sean Kotary,C,USA,0,181,,Northwood Prep,8468746,active,497,231,0.465
2000,9,24,285,COL,Blake Ward,G,CAN,0,190,,Tri-City,8468765,active,328,253,0.771
2011,1,14,14,DAL,Jamie Oleksiak,D,CAN,79,241,H-EAST,Northeastern,8476467,other_team,5,3,0.6
2011,2,14,44,DAL,Brett Ritchie,RW,CAN,75,209,OHL,Sarnia,8476439,active,11,6,0.545
2011,4,14,105,DAL,Emil Molin,C,SWE,72,170,SWE-JR.,Brynas Jr.,8476347,other_team,40,32,0.8
2011,5,14,135,DAL,Troy Vance,D,USA,78,200,QMJHL,Victoriaville,8476376,other_team,37,26,0.703
2011,6,14,165,DAL,Matej Stransky,RW,CZE,75,193,WHL,Saskatoon,8476317,active,49,28,0.571
2011,7,14,195,DAL,Jyrki Jokipakka,D,FIN,75,191,FINLAND,Ilves,8476279,other_team,13,13,1
2010,1,11,11,DAL,Jack Campbell,G,USA,75,175,USHL,USA U-18,8475789,active,60,51,0.85
2010,2,11,41,DAL,Patrik Nemeth,D,SWE,75,201,SWE-JR.,Aik Jr.,8475747,other_team,69,33,0.478
2010,3,17,77,DAL,Alexander Guptill,LW,CAN,75,175,CCHL,Orangeville,8475711,other_team,40,33,0.825
2010,4,19,109,DAL,Alex Theriau,D,CAN,74,189,WHL,Everett,8475835,inactive,49,9,0.184
2010,5,11,131,DAL,John Klingberg,D,SWE,72,158,SWE-JR.,Frolunda Jr.,8475906,active,8,0,0
2009,1,8,8,DAL,Scott Glennie,R,CAN,73,185,WHL,Brandon,8475173,other_team,66,0,0
2009,2,8,38,DAL,Alex Chiasson,R,CAN,76,187,USHL,Des Moines,8475163,other_team,15,0,0
2009,3,8,69,DAL,Reilly Smith,R,CAN,72,157,OJHL,St. Michael's,8475191,active,18,14,0.778
2009,5,8,129,DAL,Tomas Vincour,C,CZE,74,199,WHL,Edmonton,8475266,inactive,135,35,0.259
2009,6,8,159,DAL,Curtis McKenzie,L,CAN,74,192,BCHL,Penticton,8475310,other_team,148,17,0.115
2008,2,29,59,DAL,Tyler Beskorowany,G,CAN,76,208,OHL,Owen Sound,8474619,inactive,89,55,0.618
2008,3,28,89,DAL,Scott Winkler,C,NOR,74,195,MIDGET,Russell Stover,8474654,inactive,163,95,0.583
2008,5,28,149,DAL,Philip Larsen,D,DNK,73,183,SWEDEN,Frolunda,8474707,inactive,171,91,0.532
2008,6,25,176,DAL,Matt Tassone,C,CAN,72,200,WHL,Swift Current,8474738,inactive,22,21,0.955
2008,7,28,209,DAL,Mike Bergin,D,CAN,75,197,SMITH FALLS,CJHL,8474767,other_team,172,26,0.151
2007,2,20,50,DAL,Nico Sacchetti,C,USA,61,189,HIGH-MN,Virginia,8474020,inactive,84,81,0.964
2007,3,3,64,DAL,Sergei Korostin,R,RUS,61,180,RUSSIA,Dynamo Moscow,8474170,active,183,125,0.683
2007,4,21,112,DAL,Colton Sceviour,F,CAN,72,201,WHL,Portland,8474098,active,180,16,0.089
2007,5,7,128,DAL,Austin Smith,R,USA,61,160,HIGH-CT,The Gunnery,8473987,active,56,22,0.393
2007,5,8,129,DAL,Jamie Benn,L,CAN,74,208,BCHL,Victoria,8473994,active,245,10,0.041
2007,5,15,136,DAL,Ondrej Roman,C,CZE,72,168,WHL,Spokane,8474111,inactive,52,50,0.962
2007,5,28,149,DAL,Michael Neal,L,CAN,75,205,OHL,Belleville,8474183,other_team,211,65,0.308
2007,6,21,172,DAL,Luke Gazdic,L,CAN,75,226,OHL,Erie,8473989,other_team,5,1,0.2
2006,1,27,27,DAL,Ivan Vishnevskiy,D,RUS,72,193,QMJHL,Rouyn Noranda,8473582,active,286,81,0.283
2006,3,27,90,DAL,Aaron Snow,L,CAN,72,199,OHL,Brampton,8473411,inactive,32,29,0.906
2006,4,27,120,DAL,Richard Bachman,G,USA,61,170,USHSE,Cushing Academy,8473614,other_team,30,30,1
2006,5,15,138,DAL,David McIntyre,C,CAN,72,190,OPJRA,Newmarket,8473511,inactive,263,144,0.548
2006,5,27,150,DAL,Max Warn,L,FIN,74,194,FIN JR.,IFK JR.,8473460,inactive,186,21,0.113
2005,1,28,28,DAL,Matt Niskanen,D,USA,72,200,USHSW,Virginia,8471702,inactive,248,175,0.706
2005,2,3,33,DAL,James Neal,L,CAN,74,208,OHL,Plymouth,8471707,other_team,248,31,0.125
2005,3,10,71,DAL,Rich Clune,L,CAN,61,199,OHL,Sarnia,8471733,active,342,80,0.234
2005,3,14,75,DAL,Perttu Lindgren,C,FIN,72,188,FIN JR.,Ilves Jr.,8471738,active,159,90,0.566
2005,5,21,146,DAL,Tom Wandell,F,SWE,73,197,SWE JR.,Sodertalje Jr.,8471807,other_team,175,72,0.411
2005,5,35,160,DAL,Matt Watkins,R,CAN,61,180,BCHL,Vernon,8471821,active,45,29,0.644
2005,7,29,223,DAL,Pat McGann,G,USA,61,160,USMHL,Illinois Midgets,8471880,active,225,152,0.676
2004,1,28,28,DAL,Mark Fistric,D,CAN,75,231,WHL,Vancouver,8471241,active,357,213,0.597
2004,2,4,34,DAL,Johan Fransson,D,SWE,73,192,SWE,Lulea,8471247,active,337,52,0.154
2004,2,22,52,DAL,Raymond Sawada,R,CAN,74,207,BCHL,Nanaimo,8471265,other_team,56,2,0.036
2004,2,26,56,DAL,Nicklas Grossmann,D,SWE,75,227,SJL,Sodertalje Jr.,8471269,other_team,353,138,0.391
2004,3,21,86,DAL,John Lammers,L,CAN,61,184,WHL,Lethbridge,8471298,other_team,75,51,0.68
2004,4,6,104,DAL,Fredrik Naslund,R,SWE,76,207,SWE,Vasteras,8471316,active,389,89,0.229
2004,6,20,183,DAL,Trevor Ludwig,D,USA,72,205,NAHL,Texas,8471395,inactive,100,88,0.88
2004,7,25,218,DAL,Sergei Kukushin,F,BLR,74,187,BEL,Junost Minsk,8471430,active,72,15,0.208
2004,8,21,248,DAL,Lukas Vomela,D,CZE,75,189,CZE,Budejovice,8471459,inactive,147,106,0.721
2004,9,22,280,DAL,Matt Mcknight,F,CAN,74,190,AJHL,Camrose,8471491,inactive,92,39,0.424
2003,2,3,33,DAL,Loui Eriksson,L,SWE,75,193,SJL,Frolunda Jr.,8470626,active,298,152,0.51
2003,2,6,36,DAL,Vojtech Polak,F,CZE,61,180,CZE,Karlovy Vary,8470629,other_team,156,89,0.571
2003,2,24,54,DAL,B.J. Crombeen,R,USA,74,214,OHL,Barrie,8470647,inactive,263,60,0.228
2003,3,31,99,DAL,Matt Nickerson,D,USA,76,230,NAHL,Texas,8470692,inactive,329,170,0.517
2003,4,33,134,DAL,Alexander Naurov,F,RUS,61,191,RUS JR.,Yaroslavl Jr.,8470726,active,284,230,0.81
2003,5,8,144,DAL,Eero Kilpelainen,G,FIN,61,152,FIN JR.,Kalpa Jr.,8470736,active,270,86,0.319
2003,5,29,165,DAL,Gino Guyer,C,USA,61,184,WCHA,U. of Minnesota,8470757,other_team,46,1,0.022
2003,6,18,185,DAL,Francis Wathier,L,CAN,76,208,QMJHL,Hull,8470777,other_team,367,92,0.251
2003,6,28,195,DAL,Drew Bagnall,D,CAN,75,220,SJHL,Battlefords,8470787,other_team,73,43,0.589
2003,6,29,196,DAL,Elias Granath,D,SWE,73,174,SJL,Leksand Jr.,8470788,active,128,43,0.336
2003,8,30,259,DAL,Niko Vainio,D,FIN,73,180,FIN JR.,Jokerit Jr.,8470848,inactive,253,67,0.265
2002,1,26,26,DAL,Martin Vagner,D,CZE,73,214,QMJHL,Hull,8470168,other_team,341,189,0.554
2002,2,2,32,DAL,Janos Vas,F,HUN,73,183,SJL,Malmo Jr.,8470096,inactive,287,148,0.516
2002,2,4,34,DAL,Tobias Stephan,G,CHE,74,180,SUI,Chur,8470266,other_team,67,4,0.06
2002,2,12,42,DAL,Marius Holtet,F,NOR,72,183,SJL,Farjestad jr.,8470206,active,362,356,0.983
2002,2,13,43,DAL,Trevor Daley,D,CAN,61,205,OHL,Sault-Ste-Marie,8470110,active,110,87,0.791
2002,3,15,78,DAL,Geoff Waugh,D,CAN,75,210,SJHL,Kindersley,8470164,active,485,460,0.948
2002,4,14,110,DAL,Jarkko A. Immonen,C,FIN,61,180,FIN JR.,Blues Jr.,8470148,active,372,85,0.228
2002,5,16,147,DAL,David Bararuk,F,CAN,72,175,WHL,Moose Jaw,8470284,other_team,39,13,0.333
2002,6,14,180,DAL,Kirill Sidorenko,C,RUS,75,187,RUS,Kurgan,8470099,inactive,117,96,0.821
2002,7,13,210,DAL,Bryan Hamm,D,CAN,76,213,OHL,Peterborough,8470154,inactive,272,26,0.096
2002,8,14,243,DAL,Tuomas Mikkonen,F,FIN,73,183,FIN,Jyvaskyla,8470235,other_team,437,432,0.989
2002,9,13,273,DAL,Ned Havern,L,USA,73,199,H-EAST,Boston College,8472272,other_team,318,253,0.796
2001,1,26,26,DAL,Jason Bacashihua,G,USA,61,177,NAHL,Chicago,8469479,active,537,339,0.631
2001,3,7,70,DAL,Yared Hagos,C,SWE,73,202,SWE,Aik,8469520,other_team,443,434,0.98
2001,3,29,92,DAL,Anthony Aquino,R,CAN,61,190,H-EAST,Merrimack,8469541,other_team,52,32,0.615
2001,4,30,126,DAL,Daniel Volrab,C,CZE,72,180,CZE,Sparta,8469574,inactive,308,226,0.734
2001,5,30,161,DAL,Mike Smith,G,CAN,76,215,OHL,Sudbury,8469608,active,161,142,0.882
2001,6,2,167,DAL,Michal Blazek,D,CZE,74,187,CZE,Vsetin Jr.,8469614,inactive,455,138,0.303
2001,6,27,192,DAL,Jussi Jokinen,F,FIN,61,198,FIN,Karpat Jr.,8469638,other_team,319,144,0.451
2001,8,28,255,DAL,Marco Rosa,C,CAN,72,170,H-EAST,Merrimack,8469698,other_team,447,154,0.345
2001,9,6,265,DAL,Dale Sullivan,R,CAN,61,170,QMJHL,Hull,8469708,active,243,71,0.292
2001,9,26,285,DAL,Marek Tomica,F,CZE,72,172,CZE,Slavia,8469727,inactive,394,44,0.112
2000,1,25,25,DAL,Steve Ott,F,CAN,72,192,,Windsor,8468505,inactive,337,49,0.145
2000,2,30,60,DAL,Dan Ellis,G,CAN,73,191,,Omaha,8468540,inactive,544,130,0.239
2000,3,3,68,DAL,Joel Lundqvist,C,SWE,73,194,,Frolunda Jr.,8468548,other_team,455,438,0.963
2000,3,26,91,DAL,Alexei Tereschenko,C,RUS,61,176,,Dynamo Moscow,8468571,active,364,91,0.25
2000,4,27,123,DAL,Vadim Khomitski,D,RUS,74,203,,HC Moscow,8468603,active,448,168,0.375
2000,5,9,139,DAL,Ruslan Bernikov,R,RUS,75,198,,Amur Khabarovsk,8468619,active,439,297,0.677
2000,5,32,162,DAL,Artem Chernov,C,RUS,0,176,,Novokuznetsk,8468642,active,331,266,0.804
2000,6,25,192,DAL,Ladislav Vlcek,F,CZE,0,172,,Kladno Jr.,8468672,inactive,437,5,0.011
2000,7,22,219,DAL,Marco Tuokko,C,FIN,0,172,,TPS,8468699,other_team,204,94,0.461
2000,7,27,224,DAL,Antti Miettinen,C,FIN,72,190,,Hameenlinna,8468704,active,438,359,0.82
2011,2,5,35,DET,Tomas Jurco,RW,SVK,73,191,QMJHL,Saint John,8476430,active,1,1,1
2011,2,18,48,DET,Xavier Ouellet,D,FRA,72,179,QMJHL,Montreal,8476443,active,25,17,0.68
2011,2,25,55,DET,Ryan Sproul,D,CAN,75,185,OHL,Sault Ste. Marie,8476450,other_team,30,5,0.167
2011,3,24,85,DET,Alan Quine,C,CAN,61,184,OHL,Peterborough,8476409,other_team,0,0,#DIV/0!
2011,4,24,115,DET,Marek Tvrdon,RW,SVK,74,210,WHL,Vancouver,8476357,active,12,10,0.833
2011,5,24,145,DET,Philippe Hudon,C/RW,CAN,72,197,HIGH-CT,Choate-Rosemary,8476297,inactive,9,4,0.444
2011,5,25,146,DET,Mattias Backman,D,SWE,74,169,SWE-JR.,Linkoping Jr.,8476298,other_team,14,11,0.786
2011,6,24,175,DET,Richard Nedomlel,D,CZE,76,204,WHL,Swift Current,8476327,active,23,0,0
2011,7,24,205,DET,Alexei Marchenko,D,RUS,74,183,RUSSIA,CSKA,8476289,active,12,9,0.75
2010,1,21,21,DET,Riley Sheahan,C,CAN,74,202,CCHA,U. of Notre Dame,8475772,other_team,9,7,0.778
2010,2,21,51,DET,Calle Jarnkrok,C,SWE,61,156,SWEDEN,Brynas,8475714,inactive,100,32,0.32
2010,3,21,81,DET,Louis-Marc Aubry,C,CAN,75,186,QMJHL,Montreal,8475802,active,19,6,0.316
2010,4,21,111,DET,Teemu Pulkkinen,LW,FIN,61,183,FINLAND,Jokerit,8475800,active,82,72,0.878
2010,5,21,141,DET,Petr Mrazek,G,CZE,72,162,OHL,Ottawa,8475852,inactive,63,16,0.254
2010,6,21,171,DET,Brooks Macek,C,CAN,61,180,WHL,Tri-City,8475804,other_team,21,13,0.619
2010,7,21,201,DET,Benjamin Marshall,D,USA,69,160,HIGH-MN,Mahtomedi,8475897,inactive,6,2,0.333
2009,2,2,32,DET,Landon Ferraro,C,CAN,61,165,WHL,Red Deer,8475157,active,25,20,0.8
2009,2,30,60,DET,Tomas Tatar,C,SVK,61,176,SLOVAKIA,Zvolen,8475193,other_team,78,44,0.564
2009,3,14,75,DET,Andrej Nestrasil,F,CZE,74,200,QMJHL,Victoriaville,8475250,other_team,113,4,0.035
2009,3,29,90,DET,Gleason Fournier,D,CAN,72,176,QMJHL,Rimouski,8475229,active,65,31,0.477
2009,5,29,150,DET,Nick Jensen,D,USA,73,187,USHL,Green Bay,8475324,active,51,38,0.745
2009,6,29,180,DET,Mitchell Callahan,R,USA,61,175,WHL,Kelowna,8475296,inactive,28,11,0.393
2009,7,29,210,DET,Adam Almqvist,D,SWE,61,169,SWE-JR.,HV 71 JR.,8475332,inactive,146,84,0.575
2008,1,30,30,DET,Thomas McCollum,G,USA,74,205,OHL,Guelph,8474591,inactive,60,21,0.35
2008,3,30,91,DET,Max Nicastro,D,USA,74,189,USHL,Chicago,8474652,inactive,61,20,0.328
2008,4,30,121,DET,Gustav Nyquist,C,SWE,61,169,SWE-JR.,Malmo Jr.,8474679,active,123,25,0.203
2008,5,30,151,DET,Julien Cayer,C,CAN,76,186,HIGH-NY,Northwood School,8474711,other_team,77,26,0.338
2008,6,30,181,DET,Stephen Johnston,L,CAN,73,175,OHL,Belleville,8474740,active,71,7,0.099
2008,7,30,211,DET,Jesper Samuelsson,C,SWE,61,178,SWE,Timra,8474769,other_team,38,8,0.211
2007,1,27,27,DET,Brendan Smith,D,CAN,73,170,OPJRA,St. Michael's,8474090,inactive,117,33,0.282
2007,3,27,88,DET,Joakim Andersson,C,SWE,74,198,SWE-JR.,Frolunda Jr.,8474168,other_team,69,53,0.768
2007,5,27,148,DET,Randy Cameron,C,CAN,61,175,QMJHL,Moncton,8474072,other_team,128,90,0.703
2007,6,27,178,DET,Zack Torquato,C,CAN,72,195,OHL,Erie,8473995,other_team,205,165,0.805
2007,7,27,208,DET,Bryan Rufenach,D,CAN,61,184,OPJRA,Lindsay,8473990,inactive,25,2,0.08
2006,2,11,41,DET,Cory Emmerton,F,CAN,72,190,OHL,Kingston,8473558,active,220,96,0.436
2006,2,17,47,DET,Shawn Matthias,C,CAN,74,213,OHL,Belleville,8473574,active,192,21,0.109
2006,2,32,62,DET,Dick Axelsson,F,SWE,74,198,SWE,Huddinge,8473478,other_team,225,214,0.951
2006,3,29,92,DET,Daniel Larsson,G,SWE,72,184,SWE,Hammarby,8473471,other_team,194,103,0.531
2006,6,29,182,DET,Jan Mursak,L,SVN,61,167,CZE JR.,Budejovice Jr.,8473569,other_team,38,6,0.158
2006,7,8,191,DET,Nick Oslund,R,USA,75,195,USHSW,Burnsville,8473442,active,212,78,0.368
2006,7,29,212,DET,Logan Pyett,D,CAN,61,199,WHL,Regina,8473409,active,150,12,0.08
2005,1,19,19,DET,Jakub Kindl,D,CZE,75,199,OHL,Kitchener,8471693,other_team,268,46,0.172
2005,2,12,42,DET,Justin Abdelkader,L,USA,73,212,USHL,Cedar Rapids,8471716,inactive,159,67,0.421
2005,3,19,80,DET,Christofer Lofberg,C,SWE,75,189,SWE JR.,Djurgarden Jr.,8471744,active,280,72,0.257
2005,4,12,103,DET,Mattias Ritola,F,SWE,72,192,SWE JR.,Leksand Jr.,8471668,inactive,207,103,0.498
2005,5,7,132,DET,Darren Helm,F,CAN,61,195,WHL,Medicine Hat,8471794,inactive,229,23,0.1
